BFS_NR,GEO_NAME,VALUE,UNIT,STATUS,STATUS_DESC,DESC_VAL,PERIOD_REF,SOURCE,LAST_UPDATE,GEOM_CODE,GEOM,GEOM_PERIOD,MAP_ID,MAP_URL
993,Wangenried,146.4,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
995,Wiedlisbach,310,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
996,Wolfisberg,74.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1001,Doppleschwand,110.4,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1002,Entlebuch,59.2,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1004,Flühli,17.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1005,Hasle (LU),43.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1007,Romoos,17.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1008,Schüpfheim,109.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1009,Werthenstein,129.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1010,Escholzmatt-Marbach,41,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1021,Aesch (LU),247.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1022,Altwis,140.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1023,Ballwil,318.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1024,Emmen,1483.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1025,Ermensee,167.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1026,Eschenbach (LU),278.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1030,Hitzkirch,210.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1031,Hochdorf,1018,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1032,Hohenrain,109,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1033,Inwil,235.4,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1037,Rain,282.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1039,Römerswil,106.2,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1040,Rothenburg,479.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1041,Schongau,82.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1051,Adligenswil,765.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1052,Buchrain,1290,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1053,Dierikon,532.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1054,Ebikon,1375.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1055,Gisikon,1191.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1056,Greppen,316.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1057,Honau,290.4,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1058,Horw,1079.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1059,Kriens,993,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1061,Luzern,2803.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1062,Malters,248.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1063,Meggen,963.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1064,Meierskappel,201.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1065,Root,549.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1066,Schwarzenberg,43.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1067,Udligenswil,367.4,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1068,Vitznau,150.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1069,Weggis,371.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1081,Beromünster,154.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1082,Büron,438.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1083,Buttisholz,194.4,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1084,Eich,279.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1085,Geuensee,449.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1086,Grosswangen,160.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1088,Hildisrieden,314.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1089,Knutwil,221.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1091,Mauensee,195.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1093,Neuenkirch,273,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1094,Nottwil,360.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1095,Oberkirch,509.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1097,Rickenbach (LU),274.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1098,Ruswil,152.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1099,Schenkon,417.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1100,Schlierbach,117.2,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1102,Sempach,460.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1103,Sursee,1650.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1104,Triengen,207.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1107,Wolhusen,300.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1121,Alberswil,183.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1122,Altbüron,150.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1123,Altishofen,268.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1125,Dagmersellen,221.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1126,Ebersecken,46.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1127,Egolzwil,344.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1128,Ettiswil,216.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1129,Fischbach,86.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1130,Gettnau,185.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1131,Grossdietwil,82.2,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1132,Hergiswil bei Willisau,60.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1135,Luthern,33.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1136,Menznau,95.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1137,Nebikon,697.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1139,Pfaffnau,150.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1140,Reiden,259.3,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1142,Roggliswil,109.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1143,Schötz,279.8,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1145,Ufhusen,73,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1146,Wauwil,719.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1147,Wikon,181.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1150,Zell (LU),145.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
1151,Willisau,188.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
